sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,keep,note,dry_mass,wc,sat_mass_est,rwc
LATR_2,2,3.4,2.0605,0.20379999999999976,2.0605,0,TRUE,NA,1.0052,1.049840827695981,2.331408577972773,0.7957270202648814
LATR_2,2,3.72,2.0152,0.24909999999999988,2.0152,0,TRUE,NA,1.0052,1.0047751691205729,2.331408577972773,0.7615694972685778
LATR_2,2,3.92,1.9691,0.2951999999999999,1.9691,0,TRUE,NA,1.0052,0.9589136490250695,2.331408577972773,0.726808750908101
LATR_2,2,4.32,1.9294,0.3349,1.9294,0,TRUE,NA,1.0052,0.9194190210903301,2.331408577972773,0.6968737914610094
LATR_2,2,4.72,1.9004,0.3638999999999999,1.9004,0,TRUE,NA,1.0052,0.8905690409868682,2.331408577972773,0.6750069445097335
LATR_2,2,6.79,1.8553,0.40900000000000003,1.8553,0,TRUE,NA,1.0052,0.845702347791484,2.331408577972773,0.6410002273544732
LATR_3,3,1.47,3.4973,0,3.4973,0,TRUE,NA,1.6909,1.0683068188538647,3.6775380370503457,0.9092748484178057
LATR_3,3,1.66,3.4652,0.03210000000000024,3.4652,0,TRUE,NA,1.6909,1.0493228458217516,3.6775380370503457,0.8931168974466964
LATR_3,3,1.85,3.4482,0.049100000000000144,3.4482,0,TRUE,NA,1.6909,1.0392690283281092,3.6775380370503457,0.8845597271504705
LATR_3,3,2.09,3.4233,0.07400000000000029,3.4233,0,TRUE,NA,1.6909,1.0245431427050682,3.6775380370503457,0.8720259894812923
LATR_3,3,2.39,3.3846,0.11270000000000024,3.3846,0,TRUE,NA,1.6909,1.0016559228813056,3.6775380370503457,0.852545842983413
LATR_3,3,2.7,3.3484,0.14890000000000025,3.3484,0,TRUE,NA,1.6909,0.9802472056301376,3.6775380370503457,0.8343241038820376
LATR_3,3,2.92,3.3089,0.18840000000000012,3.3089,0,TRUE,NA,1.6909,0.956886864983145,3.6775380370503457,0.8144412670172771
LATR_3,3,3.25,3.2553,0.242,3.2553,0,TRUE,NA,1.6909,0.9251877698267195,3.6775380370503457,0.7874610124362351
LATR_3,3,3.37,3.1982,0.29910000000000014,3.1982,0,TRUE,NA,1.6909,0.8914187710686615,3.6775380370503457,0.7587189875000877
LATR_3,3,3.66,3.1352,0.36209999999999987,3.1352,0,TRUE,NA,1.6909,0.8541605062392809,3.6775380370503457,0.7270071211081913
LATR_3,3,3.97,3.0775,0.41979999999999995,3.0775,0,TRUE,NA,1.6909,0.8200366668638004,3.6775380370503457,0.697963078396883
LATR_3,3,4.17,3.0371,0.46019999999999994,3.0371,0,TRUE,NA,1.6909,0.7961440652906736,3.6775380370503457,0.6776272148693812
LATR_3,3,4.58,2.9918,0.5055000000000001,2.9918,0,TRUE,NA,1.6909,0.7693535986752617,3.6775380370503457,0.6548248728447317
LATR_3,3,5.13,2.8621,0.6352000000000002,2.8621,0,TRUE,NA,1.6909,0.6926488852090601,3.6775380370503457,0.5895386971141131
LATR_4,4,1.39,3.2939,0,3.2939,0,TRUE,NA,1.5351,1.1457234056413264,3.4238140134312167,0.9312156247545372
LATR_4,4,1.59,3.2533,0.04059999999999997,3.2429,0.0104,TRUE,NA,1.5351,1.1192756172236338,3.4238140134312167,0.9097195169736444
LATR_4,4,1.82,3.2261,0.06779999999999964,3.2157,0.0104,TRUE,NA,1.5351,1.1015569018304998,3.4238140134312167,0.895318183682012
LATR_4,4,2.01,3.2165,0.07739999999999991,3.2061,0.0104,TRUE,NA,1.5351,1.0953032375740994,3.4238140134312167,0.890235360167318
LATR_4,4,2.23,3.188,0.10589999999999966,3.1776,0.0104,TRUE,NA,1.5351,1.0767376718129114,3.4238140134312167,0.8751457278580708
LATR_4,4,2.71,3.1513,0.14259999999999984,3.1409,0.0104,TRUE,NA,1.5351,1.0528304344993813,3.4238140134312167,0.8557145171300222
LATR_4,4,3.09,3.1222,0.17169999999999996,3.1118,0.0104,TRUE,NA,1.5351,1.0338740147221679,3.4238140134312167,0.8403072083511064
LATR_4,4,3.58,2.9654,0.3285,2.955,0.0104,TRUE,NA,1.5351,0.9317308318676307,3.4238140134312167,0.7572877576111068
LATR_4,4,3.69,2.9072,0.3866999999999998,2.8968,0.0104,TRUE,NA,1.5351,0.8938179923132045,3.4238140134312167,0.7264731400532753
