"","id","water_pot_mpa","mass_g","leaf_mass_g","offset_mass_g","note","dt","week","start_weight","mass_lost_g","state","date"
"62","46",-2.84,0.3748,0.3748,0,NA,2025-06-18 02:29:32.885,4,0.425,0.0502,"Rehydrated","2025-06-17"
"63","46",-3,0.3639,0.3639,0,NA,2025-06-18 03:47:17.361072,4,0.425,0.0611,"Rehydrated","2025-06-17"
"64","46",-3.24,0.3546,0.3546,0,NA,2025-06-18 05:28:17.070446,4,0.425,0.0704,"Rehydrated","2025-06-17"
"65","39",-1.71,0.3388,0.3388,0,NA,2025-06-16 23:11:03.718562,4,0.3388,0,"Fresh","2025-06-17"
"66","39",-1.81,0.3308,0.3308,0,NA,2025-06-16 23:25:31.961374,4,0.3388,0.00800000000000001,"Fresh","2025-06-17"
"67","39",-1.96,0.3271,0.3271,0,NA,2025-06-16 23:42:17.341463,4,0.3388,0.0117,"Fresh","2025-06-17"
"68","39",-2.37,0.3236,0.3236,0,"pv(""46"")",2025-06-17 00:13:51.856943,4,0.3388,0.0152,"Fresh","2025-06-17"
"69","39",-2.7,0.3212,0.3212,0,NA,2025-06-17 00:38:37.525531,4,0.3388,0.0176,"Fresh","2025-06-17"
"70","39",-2.97,0.3171,0.3171,0,NA,2025-06-17 01:09:04.366406,4,0.3388,0.0217,"Fresh","2025-06-17"
"71","39",-3.25,0.3131,0.3131,0,NA,2025-06-17 01:50:09.079292,4,0.3388,0.0257,"Fresh","2025-06-17"
"72","39",-3.32,0.3085,0.3085,0,NA,2025-06-17 02:33:50.358773,4,0.3388,0.0303,"Fresh","2025-06-17"
"73","39",-3.49,0.3023,0.3023,0,NA,2025-06-17 04:04:54.370834,4,0.3388,0.0365,"Fresh","2025-06-17"
"74","39",-3.79,0.2901,0.2901,0,NA,2025-06-18 02:23:25.173057,4,0.3388,0.0487,"Fresh","2025-06-17"
"75","39",-3.98,0.282,0.282,0,NA,2025-06-18 04:00:42.982312,4,0.3388,0.0568,"Fresh","2025-06-17"
"76","39",-4.11,0.2774,0.2774,0,NA,2025-06-18 05:18:19.250095,4,0.3388,0.0614,"Fresh","2025-06-17"
"77","5",-1.137,0.6234,0.6234,0,NA,NA,2,0.6234,0,"Fresh","2025-06-04"
"78","5",-1.414,0.6101,0.6101,0,NA,NA,2,0.6234,0.0133,"Fresh","2025-06-04"
"79","5",-1.65,0.5722,0.5722,0,"pv(""16"")",2025-06-04 07:18:12,2,0.6234,0.0511999999999999,"Fresh","2025-06-04"
"80","5",-2.5,0.5388,0.5388,0,NA,2025-06-04 08:10:48,2,0.6234,0.0846,"Fresh","2025-06-04"
"81","5",-2.62,0.5225,0.5225,0,NA,2025-06-04 08:16:34,2,0.6234,0.1009,"Fresh","2025-06-04"
"82","5",-2.88,0.5069,0.5069,0,NA,2025-06-04 08:52:23,2,0.6234,0.1165,"Fresh","2025-06-04"
"83","5",-3.03,0.496,0.496,0,NA,2025-06-04 10:01:57,2,0.6234,0.1274,"Fresh","2025-06-04"
"84","5",-3.02,0.4876,0.4876,0,NA,2025-06-05 10:17:10,2,0.6234,0.1358,"Fresh","2025-06-04"
"85","5",-3.26,0.4754,0.4754,0,NA,2025-06-05 12:04:08,2,0.6234,0.148,"Fresh","2025-06-04"
"86","5",-3.32,0.4658,0.4658,0,NA,2025-06-05 14:04:44,2,0.6234,0.1576,"Fresh","2025-06-04"
"87","16",-1.01,0.8844,0.8844,0,NA,2025-06-04 00:13:01.843035,2,0.8844,0,"Fresh","2025-06-04"
"88","16",-1.29,0.8495,0.8495,0,NA,2025-06-04 00:16:11.614357,2,0.8844,0.0348999999999999,"Fresh","2025-06-04"
"89","16",-1.9,0.7341,0.7341,0,"pv(""5"", plotonly = TRUE)",2025-06-04 01:19:43.523126,2,0.8844,0.1503,"Fresh","2025-06-04"
"90","16",-2.24,0.7193,0.7193,0,NA,2025-06-04 02:07:27.151255,2,0.8844,0.1651,"Fresh","2025-06-04"
"91","16",-2.43,0.7073,0.7073,0,NA,2025-06-04 03:08:32.69694,2,0.8844,0.1771,"Fresh","2025-06-04"
"92","16",-2.5,0.6923,0.6923,0,NA,2025-06-05 03:26:21.352851,2,0.8844,0.1921,"Fresh","2025-06-04"
"93","16",-2.68,0.6781,0.6781,0,NA,2025-06-05 05:12:59.083209,2,0.8844,0.2063,"Fresh","2025-06-04"
"94","16",-2.75,0.6662,0.6662,0,NA,2025-06-05 07:10:46.138698,2,0.8844,0.2182,"Fresh","2025-06-04"
"95","16",-2.94,0.6502,0.6502,0,NA,2025-06-05 09:38:33.033038,2,0.8844,0.2342,"Fresh","2025-06-04"
"96","69",-1.07,0.3138,0.3138,0,NA,2025-06-04 00:25:12.62004,2,0.3138,0,"Fresh","2025-06-04"
"97","69",-1.31,0.3072,0.3072,0,NA,2025-06-04 00:29:14.620491,2,0.3138,0.00660000000000005,"Fresh","2025-06-04"
"98","69",-1.52,0.2994,0.2994,0,NA,2025-06-04 00:32:49.048798,2,0.3138,0.0144,"Fresh","2025-06-04"
"99","69",-2.12,0.2574,0.2574,0,NA,2025-06-04 01:24:28.423448,2,0.3138,0.0564,"Fresh","2025-06-04"
"100","69",-2.43,0.2482,0.2482,0,NA,2025-06-04 02:28:25.595005,2,0.3138,0.0656,"Fresh","2025-06-04"
"101","69",-2.53,0.2419,0.2419,0,NA,2025-06-04 03:13:37.574365,2,0.3138,0.0719,"Fresh","2025-06-04"
"102","69",-2.7,0.2334,0.2334,0,NA,2025-06-05 03:36:32.831016,2,0.3138,0.0804,"Fresh","2025-06-04"
"103","69",-2.88,0.2258,0.2258,0,NA,2025-06-05 05:33:01.118202,2,0.3138,0.088,"Fresh","2025-06-04"
"104","69",-3.1,0.2191,0.2191,0,NA,2025-06-05 07:16:06.33331,2,0.3138,0.0947,"Fresh","2025-06-04"
"105","69",-3.41,0.2097,0.2097,0,NA,2025-06-05 09:42:36.222821,2,0.3138,0.1041,"Fresh","2025-06-04"
"106","69",-5.33,0.1738,0.1738,0,NA,2025-06-09 07:29:27.934656,2,0.3138,0.14,"Fresh","2025-06-04"
"107","122",-0.71,0.2711,0.2711,0,NA,2025-06-04 00:38:39.105804,2,0.2711,0,"Fresh","2025-06-04"
"108","122",-0.83,0.2632,0.2632,0,NA,2025-06-04 00:41:39.740284,2,0.2711,0.00790000000000002,"Fresh","2025-06-04"
"109","122",-0.89,0.2562,0.2562,0,"pv(""39"")",2025-06-04 00:45:43.77047,2,0.2711,0.0149,"Fresh","2025-06-04"
"110","122",-1.92,0.2328,0.2328,0,NA,2025-06-04 01:30:08.091958,2,0.2711,0.0383,"Fresh","2025-06-04"
"111","122",-2.27,0.2228,0.2228,0,NA,2025-06-04 02:28:01.969068,2,0.2711,0.0483,"Fresh","2025-06-04"
"112","122",-2.35,0.2175,0.2175,0,NA,2025-06-04 03:19:30.994352,2,0.2711,0.0536,"Fresh","2025-06-04"
"113","122",-2.47,0.2089,0.2089,0,NA,2025-06-05 03:42:26.73541,2,0.2711,0.0622,"Fresh","2025-06-04"
"114","122",-2.62,0.1914,0.1914,0,NA,2025-06-05 05:35:40.989192,2,0.2711,0.0797,"Fresh","2025-06-04"
"115","122",-2.76,0.1855,0.1855,0,NA,2025-06-05 07:21:40.646004,2,0.2711,0.0856,"Fresh","2025-06-04"
"116","122",-3.02,0.1795,0.1795,0,NA,2025-06-05 09:48:10.162191,2,0.2711,0.0916,"Fresh","2025-06-04"
"117","122",-4.67,0.1486,0.1486,0,NA,2025-06-09 07:38:59.61375,2,0.2711,0.1225,"Fresh","2025-06-04"
"118","46",-0.8,0.306,0.306,0,NA,NA,2,0.306,0,"Fresh","2025-06-04"
