site,id,water_pot_mpa,start_weight,weight_g,total_weight_g,mass_lost_g,dry_mass,wc,sat_mass_est,rwc,notes
ONAQ,6,1.925,4.9429,7.0662,4.5505,0.392399999999999,2.6039,0.74757095126541,5.21296881415318,0.746089941913549,NA
ONAQ,6,2.032,4.9429,7.0198,4.5039,0.438999999999999,2.6039,0.729674718691194,5.21296881415318,0.728229163482864,NA
ONAQ,6,2.165,4.9429,6.9873,4.4713,0.4716,2.6039,0.717155036675755,5.21296881415318,0.715734284151526,NA
ONAQ,6,2.31,4.9429,6.9542,4.4381,0.504799999999999,2.6039,0.704404931064941,5.21296881415318,0.703009437715931,NA
ONAQ,6,2.468,4.9429,6.9265,4.4101,0.532800000000001,2.6039,0.693651829947386,5.21296881415318,0.692277639517236,NA
ONAQ,6,2.543,4.9429,6.8871,4.3705,0.572399999999999,2.6039,0.67844387265256,5.21296881415318,0.677099810636225,put in drying oven @ 30 degrees C at 1pm
ONAQ,6,2.638,4.9429,6.8326,4.3158,0.6271,2.6039,0.657436921540766,5.21296881415318,0.65613447629806,NA
ONAQ,6,2.81,4.9429,6.769,4.252,0.690899999999999,2.6039,0.632935212565767,5.21296881415318,0.63168130754532,NA
ONAQ,6,3.125,4.9429,6.7081,4.1906,0.7523,2.6039,0.609355197972272,5.21296881415318,0.60814800720961,leaf and stick fell off after measurement (stick 0.0099g)
ONAQ,6,3.312,4.9429,6.6161,4.1192,0.8237,2.6039,0.581934790122509,5.21296881415318,0.580781921802939,NA
ONAQ,6,3.536,4.9429,6.5454,4.0485,0.8944,2.6039,0.554783209800684,5.21296881415318,0.553684131351234,add parafilm after measurement
ONAQ,6,3.832,4.9429,6.4794,3.9494,0.9935,2.6039,0.516724912631054,5.21296881415318,0.515701231297996,NA
ONAQ,6,4.257,4.9429,6.3863,3.8559,1.087,2.6039,0.480817235684934,5.21296881415318,0.479864690884498,NA
ONAQ,6,4.472,4.9429,6.3328,3.8021,1.1408,2.6039,0.460155919966205,5.21296881415318,0.459244307202719,NA
ONAQ,8,0.748,2.1356,4.5525,2.1356,0,1.059,1.0166194523135,2.20745411949738,0.937434053065326,"started with parafilm, dry_weight_(g) includes 0.0020g of bark that fell off instead of bark weight"
ONAQ,8,1.085,2.1356,4.5208,2.1039,0.0316999999999998,1.059,0.986685552407932,2.20745411949738,0.909831731421103,NA
ONAQ,8,1.172,2.1356,4.4871,2.0702,0.0654000000000003,1.059,0.954863078375826,2.20745411949738,0.880487938379767,NA
ONAQ,8,1.261,2.1356,4.4131,1.9962,0.1394,1.059,0.884985835694051,2.20745411949738,0.816053496686628,put in drying oven at 30 degrees C somewhere in highlighted grey measurements
ONAQ,8,1.558,2.1356,4.3118,1.8949,0.2407,1.059,0.78932955618508,2.20745411949738,0.727847970422911,NA
ONAQ,8,1.918,2.1356,4.2607,1.8438,0.2918,1.059,0.741076487252125,2.20745411949738,0.683353376226702,NA
ONAQ,8,2.179,2.1356,4.2217,1.8068,0.3288,1.059,0.706137865911237,2.20745411949738,0.651136155380133,"I think 0.0020g bark/sticks fell off after measurement, but not 100% sure. Fairly certain, so I am including it in the total_weight_(g) section"
ONAQ,8,2.383,2.1356,4.19,1.7751,0.3605,1.059,0.676203966005666,2.20745411949738,0.62353383373591,NA
ONAQ,8,2.586,2.1356,4.1566,1.7417,0.3939,1.059,0.64466477809254,2.20745411949738,0.594451261404141,NA
ONAQ,8,2.688,2.1356,4.1319,1.717,0.4186,1.059,0.621340887629839,2.20745411949738,0.572944089649809,NA
ONAQ,8,2.919,2.1356,4.1043,1.6894,0.4462,1.059,0.595278564683664,2.20745411949738,0.548911784369665,NA
ONAQ,8,3.076,2.1356,4.0803,1.6654,0.4702,1.059,0.57261567516525,2.20745411949738,0.528014127604323,NA
ONAQ,8,3.165,2.1356,4.0504,1.6403,0.495300000000001,1.059,0.548914069877242,2.20745411949738,0.506158661570568,leaf fell before measurement
ONAQ,8,3.375,2.1356,4.0219,1.6119,0.523700000000001,1.059,0.522096317280453,2.20745411949738,0.481429767731579,NA
ONAQ,8,3.719,2.1356,4.0028,1.5928,0.542800000000001,1.059,0.504060434372049,2.20745411949738,0.464798715889161,10PM?
