"","id","dt","water_pot_mpa","total_weight_g","start_wp","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"13",1,2025-03-13 02:44:00,-3.301,1.8633,-1.067,1.9925,0.1292,1,1.0693,0.742541849808286,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.79884089673543,0.20115910326457
"14",1,2025-03-13 04:20:00,-3.495,1.8504,-1.067,1.9925,0.1421,1,1.0693,0.730477882727018,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.785862247405598,0.214137752594402
"15",1,2025-03-13 06:31:00,-3.735,1.8351,-1.067,1.9925,0.1574,1,1.0693,0.716169456653886,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.770468965642308,0.229531034357692
"16",1,2025-03-13 08:40:00,-3.95,1.8195,-1.067,1.9925,0.173,1,1.0693,0.701580473206771,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.754773854824836,0.245226145175164
"17",1,2025-03-13 10:47:00,-4.225,1.8019,-1.067,1.9925,0.1906,1,1.0693,0.685121107266436,0.997777738854175,3,0.0665718228507228,2.06324009901695,FALSE,0.737066550312817,0.262933449687183
"18",3,2025-03-12 16:44:00,-1.227,8.1808,-1.093,8.2263,0.0455000000000005,2,4.5902,0.782231711036556,0.997043210047369,4,0.210600648064351,8.441772607479,TRUE,0.932242583984462,0.0677574160155379
"19",3,2025-03-12 17:49:00,-1.561,8.1184,-1.093,8.2263,0.107899999999999,2,4.5902,0.768637532133676,0.997043210047369,4,0.210600648064351,8.441772607479,TRUE,0.916041409461923,0.083958590538077
"20",3,2025-03-12 18:47:00,-1.775,8.0665,-1.093,8.2263,0.159799999999999,2,4.5902,0.757330835257723,0.997043210047369,4,0.210600648064351,8.441772607479,TRUE,0.902566394113849,0.0974336058861507
"21",3,2025-03-12 19:49:00,-1.964,8.0268,-1.093,8.2263,0.199499999999999,2,4.5902,0.748681974641628,0.997043210047369,4,0.210600648064351,8.441772607479,TRUE,0.892258916092298,0.107741083907702
"22",3,2025-03-12 21:45:00,-2.301,7.9704,-1.093,8.2263,0.2559,2,4.5902,0.736394928325563,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.87761554681231,0.12238445318769
"23",3,2025-03-12 23:02:00,-2.489,7.9394,-1.093,8.2263,0.2869,2,4.5902,0.72964140996035,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.869566886392458,0.130433113607542
"24",3,2025-03-13 00:21:00,-2.591,7.9063,-1.093,8.2263,0.319999999999999,2,4.5902,0.722430395189752,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.860972994137714,0.139027005862286
"25",3,2025-03-13 02:03:00,-2.813,7.821,-1.093,8.2263,0.405299999999999,2,4.5902,0.70384732691386,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.838826196272768,0.161173803727232
"26",3,2025-03-13 03:55:00,-2.989,7.7832,-1.093,8.2263,0.4431,2,4.5902,0.695612391616923,0.997043210047369,4,0.210600648064351,8.441772607479,FALSE,0.829012023244691,0.170987976755309
