"","id","dt","water_pot_mpa","total_weight_g","total_dry_weight_g","start_weight","mass_lost_g","superID","dry_mass","wc","r2","n","slope","sat_mass_est","keep","rwc","rwc_plotting"
"20","3a",2025-03-12 17:07:00,-2.16,2.4743,NA,2.4743,4.44089209850063e-16,2,1.2583,0.966383215449416,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.781920621583829,0.218079378416171
"21","3a",2025-03-12 17:33:00,-2.313,2.3689,NA,2.4743,0.1054,2,1.2583,0.882619407136613,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.714145594022204,0.285854405977796
"22","3a",2025-03-12 18:44:00,-2.569,2.3051,NA,2.4743,0.1692,2,1.2583,0.83191607724708,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.673120482462132,0.326879517537868
"23","3a",2025-03-12 19:28:00,-2.712,2.2789,NA,2.4743,0.1954,2,1.2583,0.811094333624732,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.656273179595769,0.343726820404231
"24","3a",2025-03-12 20:23:00,-2.93,2.2362,NA,2.4743,0.2381,2,1.2583,0.77715965985854,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.628815934084561,0.371184065915439
"25","3a",2025-03-12 21:33:00,-3.086,2.2018,NA,2.4743,0.2725,2,1.2583,0.74982118731622,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.606695811237124,0.393304188762876
"26","3a",2025-03-12 22:51:00,-3.378,2.1585,NA,2.4743,0.3158,2,1.2583,0.715409679726615,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.578852749629739,0.421147250370261
"27","3a",2025-03-13 00:33:00,-3.75,2.1006,NA,2.4743,0.3737,2,1.2583,0.669395215767305,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.541621496348733,0.458378503651267
"28","3a",2025-03-13 02:50:00,-4.107,2.0387,NA,2.4743,0.4356,2,1.2583,0.620201859651911,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.501818135759885,0.498181864240115
"29","3a",2025-03-13 05:13:00,-4.258,1.9942,NA,2.4743,0.4801,2,1.2583,0.584836684415481,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.473203441960148,0.526796558039852
"30","3a",2025-03-13 08:25:00,-4.795,1.9304,NA,2.4743,0.5439,2,1.2583,0.534133354525948,0.970678071406447,11,0.190257245909104,2.81344507027186,TRUE,0.432178330400075,0.567821669599925
"31","3a",2025-03-13 11:07:00,-5.243,1.8819,NA,2.4743,0.5924,2,1.2583,0.495589287133434,0.970678071406447,11,0.190257245909104,2.81344507027186,FALSE,0.400991529292496,0.599008470707504
"32","4a",2025-03-13 01:37:00,-1.348,1.7507,NA,1.7507,0,3,1.0066,0.739221140472879,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.756407720824824,0.243592279175176
"33","4a",2025-03-13 01:55:00,-1.596,1.6699,NA,1.7507,0.0807999999999998,3,1.0066,0.658950923902245,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.674271255507467,0.325728744492533
"34","4a",2025-03-13 02:25:00,-2.008,1.6032,NA,1.7507,0.1475,3,1.0066,0.592688257500497,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.606468010004153,0.393531989995847
"35","4a",2025-03-13 02:56:00,-2.224,1.5632,NA,1.7507,0.1875,3,1.0066,0.552950526524935,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.565806393510411,0.434193606489589
"36","4a",2025-03-13 04:00:00,-2.374,1.5235,NA,1.7507,0.2272,3,1.0066,0.513510828531691,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.525449739140373,0.474550260859627
"37","4a",2025-03-13 04:46:00,-2.567,1.5078,NA,1.7507,0.2429,3,1.0066,0.497913769123784,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.50949005466658,0.49050994533342
"38","4a",2025-03-13 06:01:00,-2.658,1.4846,NA,1.7507,0.2661,3,1.0066,0.474865885157958,0.987298973740984,8,0.191063053069113,1.99032872131527,TRUE,0.48590631710021,0.51409368289979
