sample,ID,P.MPa,mass.g,mass_lost,leaf.mass.g,offset.mass.g,note,dry_mass,wc,r2,n,slope,sat_mass_est,keep,rwc,rwc_plotting
LATR_4,4,1.59,3.2533,0.04059999999999997,3.2429,0.0104,NA,1.5351,1.1192756172236338,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.9277344491799672,0.07226555082003283
LATR_4,4,1.82,3.2261,0.06779999999999964,3.2157,0.0104,NA,1.5351,1.1015569018304998,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.9130479301381241,0.08695206986187587
LATR_4,4,2.01,3.2165,0.07739999999999991,3.2061,0.0104,NA,1.5351,1.0953032375740994,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.9078644528292381,0.09213554717076189
LATR_4,4,2.23,3.188,0.10589999999999966,3.1776,0.0104,NA,1.5351,1.0767376718129114,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.8924760045684833,0.1075239954315167
LATR_4,4,2.71,3.1513,0.14259999999999984,3.1409,0.0104,NA,1.5351,1.0528304344993813,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.872660002773055,0.127339997226945
LATR_4,4,3.09,3.1222,0.17169999999999996,3.1118,0.0104,NA,1.5351,1.0338740147221679,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,TRUE,0.8569475871804947,0.14305241281950531
LATR_4,4,3.58,2.9654,0.3285,2.955,0.0104,NA,1.5351,0.9317308318676307,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.7722841244686922,0.2277158755313078
LATR_4,4,3.69,2.9072,0.3866999999999998,2.8968,0.0104,NA,1.5351,0.8938179923132045,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.7408592932835718,0.2591407067164282
LATR_4,4,4.03,2.8334,0.4604999999999997,2.823,0.0104,NA,1.5351,0.8457429483421277,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.7010113114715119,0.29898868852848814
LATR_4,4,4.34,2.773,0.5208999999999997,2.7626,0.0104,NA,1.5351,0.8063969773956096,0.9931260091980543,6,-0.0866491845753632,3.3871385887564402,FALSE,0.6683986000697716,0.3316013999302284
